mgra,TAZ,hh,pop,emp_self,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_scrap_other,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,collegeEnroll,otherCollegeEnroll,AdultSchEnrl,EnrollGradeKto8,EnrollGrade9to12,PrivateEnrollGradeKto8,ech_dist,hch_dist,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,TotInt,DUDen,EmpDen,PopDen,RetEmpDen,IntDenBin,EmpDenBin,DuDenBin,POINT_X,POINT_Y,ACRES,HotelRoomTotal,mall_flag,beachAcres
5467,2650,59,142,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,7,8,2,1,1,1,917776,608959,23,0,0,0
5468,2651,0,0,0,0,0,0,0,0,0,0,0,0,101,0,133,19,0,0,0,9,11,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,6,10,1,1,1,1,917044,609285,53,0,0,0
5469,1915,0,0,0,0,99,0,0,0,0,0,63,0,0,6,39,15,0,0,0,0,27,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,1,1,1,949053,722879,21,0,0,0
5470,2685,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,361,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,6,4,1,1,1,1,925834,602453,143,0,0,0
5471,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,1,1,1,928397,607439,258,0,0,0
5472,2647,290,585,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,1,1,1,926467,608147,17,0,0,0
5473,2683,221,379,0,0,7,0,0,0,0,0,3,0,16,3,46,18,0,0,0,0,12,2,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,4,7,1,1,1,1,929201,599978,75,0,0,0
5474,1910,144,312,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,2,10,1,1,1,1,953841,714278,38,0,0,0
5475,2627,39,88,0,0,4,0,0,0,0,0,27,0,6,0,730,53,0,0,0,6,80,5,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,8,6,2,1,1,1,927471,611316,41,0,0,0
5476,2593,357,828,0,0,3,0,0,0,0,0,0,0,12,9,27,17,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,192,0,0,0,721,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,4,8,9,0,1,1,1,930963,614631,154,0,0,0
5477,2647,365,713,0,0,0,0,0,0,0,0,0,0,6,37,17,401,0,0,0,47,44,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,5,12,12,2,1,2,2,926471,609500,44,0,0,0
5478,2654,1,1,0,0,206,0,0,0,0,0,215,0,5,0,42,0,0,0,0,0,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,1,1,1,929835,606305,21,0,0,0
