MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1404,114,0
1405,129,0
1406,136,0
1407,95,0
1408,94,0
1409,30,0
1410,140,0
1411,372,90
1412,170,0
1413,84,0
1414,142,0
1415,162,0
1416,143,0
1417,192,4
1418,114,0
1419,81,0
1420,105,0
1421,102,0
1422,80,0
1423,22,0
1424,41,0
1425,146,0
1426,169,0
1427,157,0
1428,200,0
1429,136,0
1430,117,0
1431,105,0
1432,98,0
1433,139,0
1434,75,0
1435,29,0
1436,158,0
1437,309,0
1438,166,0
1439,27,0
1440,215,3
1441,153,0
1442,176,43
1443,146,0
1444,81,0
1445,149,0
1446,212,3
1447,284,14
1448,189,0
1449,174,0
1450,33,0
1451,135,11
1452,187,0
1453,74,0
1454,252,4
1455,143,6
1456,115,0
1457,218,0
1458,182,0
1459,219,0
1460,91,0
1461,27,0
1462,26,0
1463,110,0
1464,0,0
1465,42,0
1466,97,0
1467,88,0
1468,124,0
1469,23,0
1470,767,0
1471,384,0
1472,155,0
1473,305,0
1474,183,0
1475,354,0
1476,135,0
1477,134,0
1478,141,6
1479,416,0
1480,80,0
1481,179,0
1482,0,0
1483,489,6
1484,279,0
1485,61,0
1486,0,0
1487,215,0
1488,162,0
1489,431,0
1490,570,0
1491,194,0
1492,153,0
1493,230,0
1494,0,0
1495,35,0
1496,132,8
1497,132,0
1498,97,0
1499,49,0
1500,101,0
1501,0,0
1502,99,0
1503,293,19
1504,73,0
1505,197,0
1506,313,0
1507,0,0
1508,139,0
1509,162,0
1510,123,0
1511,103,2
1512,70,0
1513,87,0
1514,133,0
1515,80,0
1516,20,0
1517,14,0
1518,180,0
1519,135,0
1520,36,0
1521,174,0
1522,143,0
1523,187,0
1524,130,0
1525,351,450
1526,77,27
1527,277,0
1528,24,0
1529,8,0
1530,46,0
1531,85,0
1532,335,126
1533,155,0
1534,306,0
1535,171,0
1536,180,0
1537,0,0
1538,181,0
1539,336,0
1540,174,0
1541,246,0
1542,375,0
1543,470,7
1544,272,56
1545,115,0
1546,238,0
1547,144,0
1548,318,0
1549,301,0
1550,5,0
1551,55,91
1552,301,0
1553,236,0
1554,281,0
1555,137,0
1556,103,0
1557,86,0
1558,44,0
1559,107,0
1560,224,31
1561,471,0
1562,371,0
1563,211,0
1564,206,0
1565,125,0
1566,514,0
1567,65,0
1568,34,0
1569,328,0
1570,228,0
1571,128,0
1572,151,0
1573,82,0
1574,216,0
1575,0,0
1576,185,0
1577,74,0
1578,103,0
1579,180,0
1580,107,0
1581,0,0
1582,134,0
1583,186,0
1584,108,5
1585,271,6
1586,169,0
1587,288,0
1588,305,0
1589,69,0
1590,186,0
1591,181,0
1592,124,2
1593,153,0
1594,81,0
1595,107,0
1596,292,8
1597,407,213
1598,142,0
1599,126,4
1600,161,3
1601,113,0
1602,220,0
1603,147,0
1604,106,0
1605,92,0
1606,205,5
1607,213,0
1608,227,0
1609,151,0
1610,178,0
1611,118,0
1612,121,0
1613,66,0
1614,215,0
1615,16,0
1616,46,5
1617,110,0
1618,90,0
1619,267,65
1620,167,0
1621,0,0
1622,171,0
1623,85,0
1624,0,0
1625,168,0
1626,168,0
1627,138,21
1628,199,0
1629,156,0
1630,0,0
1631,0,0
1632,0,0
1633,0,0
1634,16,0
1635,0,0
1636,8,0
1637,117,0
1638,72,0
1639,33,0
1640,62,4
1641,156,0
1642,68,0
1643,147,0
1644,165,0
1645,110,0
1646,0,0
1647,0,0
1648,48,0
1649,92,2
1650,123,0
1651,226,0
1652,137,15
1653,125,17
1654,188,0
1655,208,0
1656,142,0
1657,313,0
1658,153,0
1659,229,2
1660,163,0
1661,126,0
1662,114,0
1663,114,4
1664,353,117
1665,158,0
1666,134,0
1667,167,19
1668,29,0
1669,108,0
1670,173,0
1671,487,2
1672,135,0
1673,164,0
1674,172,0
1675,312,0
1676,124,0
1677,148,0
