MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
785,236,0
786,219,155
787,129,0
788,252,0
789,116,4
790,91,0
791,155,0
792,89,0
793,124,0
794,131,0
795,118,0
796,295,8
797,213,0
798,208,125
799,129,0
800,92,0
801,223,0
802,290,121
803,290,0
804,161,0
805,353,0
806,93,0
807,400,111
808,0,0
809,383,8
810,126,0
811,43,0
812,156,0
813,234,0
814,195,0
815,281,0
816,192,1
817,160,6
818,426,0
819,438,0
820,0,0
821,102,0
822,129,0
823,322,0
824,84,0
825,82,0
826,116,0
827,108,0
828,29,0
829,234,14
830,214,52
831,232,0
832,456,10
833,568,297
834,282,6
835,122,0
836,137,0
837,86,0
838,142,7
839,204,5
840,110,0
841,200,6
842,0,0
843,35,0
844,2,0
845,15,0
846,22,0
847,168,6
848,281,0
849,119,0
850,138,8
851,160,0
852,193,4
853,154,0
854,269,6
855,164,0
856,230,0
857,8,2
858,0,0
859,51,0
860,125,6
861,153,0
862,157,0
863,146,4
864,86,0
865,102,0
866,218,0
867,167,144
868,121,7
869,7,0
870,311,0
871,184,0
872,166,0
873,120,0
874,0,0
875,15,0
876,13,884
877,0,0
878,213,0
879,240,0
880,111,0
881,221,10
882,185,0
883,56,0
884,122,0
885,1,0
886,212,0
887,245,5
888,169,0
889,128,0
890,560,0
891,174,0
892,160,0
893,232,0
894,182,0
895,152,0
896,108,6
897,129,0
898,106,0
899,150,0
900,128,0
901,122,0
902,136,0
903,111,0
904,135,0
905,0,0
906,94,0
907,168,0
908,204,0
909,171,9
910,126,0
911,146,0
912,152,0
913,209,0
914,83,0
915,0,0
916,105,0
917,0,0
918,59,0
919,106,7
920,265,0
921,236,0
922,123,0
923,48,0
924,174,0
925,94,0
926,169,4
927,162,0
928,173,50
929,147,3
930,72,0
931,154,0
932,147,4
933,11,0
934,0,0
935,223,0
936,100,0
937,104,0
938,134,0
939,144,0
940,152,0
941,108,0
942,208,0
943,201,0
944,21,0
945,57,0
946,181,5
947,220,0
948,126,0
949,119,0
950,43,5
951,92,4
952,41,0
953,279,0
954,399,0
955,191,0
956,162,0
957,134,0
958,138,3
959,207,0
960,129,0
961,181,0
962,140,4
963,278,0
964,109,0
965,46,0
966,169,0
967,114,0
968,136,0
969,139,0
970,132,3
971,67,0
972,35,0
973,135,0
974,223,0
975,122,0
976,0,0
977,129,0
978,77,0
979,42,0
980,342,7
981,100,2
982,101,0
983,125,0
984,137,0
985,222,7
986,177,0
987,130,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,358,0
994,227,0
995,206,0
996,131,0
997,135,0
998,208,0
999,0,0
1000,111,0
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,151
1008,0,0
1009,0,0
1010,0,0
1011,138,0
1012,157,12
1013,124,0
1014,139,0
1015,130,0
1016,116,0
1017,0,0
1018,137,0
1019,153,10
1020,115,0
1021,125,0
1022,129,6
1023,139,0
1024,159,7
1025,94,6
1026,157,0
1027,143,0
1028,140,0
1029,185,0
1030,218,0
1031,171,4
1032,131,0
1033,115,0
1034,128,0
1035,10,5
1036,248,5
1037,101,0
1038,137,0
1039,58,0
1040,114,0
1041,199,0
1042,369,0
1043,0,0
1044,195,0
1045,328,0
1046,87,0
1047,292,0
1048,70,0
1049,0,0
1050,0,0
1051,138,0
1052,362,0
1053,83,0
1054,469,9
1055,125,0
1056,812,0
1057,221,0
1058,125,0
1059,444,7
1060,220,0
1061,309,0
1062,60,0
1063,275,11
1064,60,8
1065,87,0
1066,72,6
1067,378,0
1068,204,0
1069,72,6
1070,181,0
1071,162,5
1072,180,9
1073,151,0
1074,154,0
1075,97,0
1076,244,65
1077,209,6
1078,24,0
1079,0,0
1080,266,0
1081,361,0
1082,0,0
1083,0,0
1084,561,0
1085,525,0
1086,338,104
1087,140,0
1088,332,0
1089,757,0
1090,140,0
1091,84,7
1092,156,7
1093,176,0
1094,523,0
1095,108,6
1096,191,11
1097,84,0
1098,90,0
1099,23,0
1100,220,0
1101,115,0
1102,82,0
1103,216,7
1104,253,6
1105,141,0
1106,545,7
1107,322,9
1108,397,0
1109,436,0
1110,150,4
1111,84,0
1112,89,5
1113,378,0
1114,178,5
1115,381,0
1116,165,0
1117,41,0
1118,77,0
1119,94,0
1120,182,0
1121,124,12
1122,199,0
1123,180,0
1124,137,0
1125,96,0
1126,0,0
1127,185,0
1128,0,0
1129,296,0
1130,536,0
1131,220,0
1132,201,0
1133,0,0
1134,216,0
1135,288,0
1136,128,0
1137,107,0
1138,201,0
1139,159,0
1140,207,0
1141,244,0
1142,169,0
1143,168,7
1144,203,0
1145,202,0
1146,41,6
1147,88,0
1148,0,0
1149,290,0
1150,214,12
1151,586,0
1152,446,0
1153,174,0
1154,158,0
1155,61,0
1156,94,0
1157,155,0
1158,231,0
1159,96,0
1160,191,0
1161,113,0
1162,78,0
1163,87,0
1164,147,6
1165,226,0
1166,0,0
1167,0,0
1168,205,0
1169,96,0
1170,185,9
1171,181,0
1172,141,0
1173,366,0
1174,297,0
1175,48,0
1176,143,6
1177,260,0
1178,206,0
1179,351,0
1180,199,0
1181,126,6
1182,97,0
1183,181,0
1184,144,0
1185,78,0
1186,166,0
1187,107,0
1188,339,9
1189,91,0
1190,453,0
1191,713,0
1192,823,0
1193,75,0
1194,0,0
1195,166,0
1196,242,0
1197,343,0
1198,396,0
1199,402,0
1200,209,50
1201,276,0
1202,433,0
1203,418,0
1204,299,0
1205,0,0
1206,582,0
1207,18,0
1208,662,0
1209,173,0
1210,481,0
1211,0,0
1212,216,0
1213,761,192
1214,708,0
1215,155,0
1216,0,0
1217,550,0
1218,286,0
1219,392,0
1220,116,20
1221,585,0
1222,0,0
1223,0,0
1224,1,0
1225,10,0
1226,334,0
1227,310,1
1228,81,0
1229,329,0
1230,250,8
1231,333,0
1232,345,0
1233,238,0
1234,200,0
1235,0,0
1236,33,0
1237,150,0
1238,203,0
